Description,Price,Category,Shop Name,Shop Function
Celestial Orrery, 25 - 100 gp,Item,Timekeeper's Haven,Horologist
Hourglass Earrings, 1 - 5 gp,Item,Timekeeper's Haven,Horologist
Hourglass, 1 - 5 gp,Item,Timekeeper's Haven,Horologist
Mechanical Clock, 50 - 500 gp,Item,Timekeeper's Haven,Horologist
Nautical Sextant, 10 - 50 gp,Item,Timekeeper's Haven,Horologist
Pocket Watch, 10 - 50 gp,Item,Timekeeper's Haven,Horologist
Sundial, 1 - 20 gp,Item,Timekeeper's Haven,Horologist
Timepiece Pendant, 5 - 20 gp,Item,Timekeeper's Haven,Horologist
Water Clock (Clepsydra), 10 - 50 gp,Item,Timekeeper's Haven,Horologist
Clock Repair, 1 - 10 gp,Service,Timekeeper's Haven,Horologist
Custom Clock Commission, 50 - 500 gp,Service,Timekeeper's Haven,Horologist
Anvil (Large), 100 gp,Item,Ironclad Foundry,Ironmonger
Anvil (Small), 25 gp,Item,Ironclad Foundry,Ironmonger
Battleaxe, 10 gp,Item,Ironclad Foundry,Ironmonger
Bellows, 2 gp,Item,Ironclad Foundry,Ironmonger
Candle Holder (Iron), 1 sp,Item,Ironclad Foundry,Ironmonger
Chain Mail, 75 gp,Item,Ironclad Foundry,Ironmonger
Chisel, 2 sp,Item,Ironclad Foundry,Ironmonger
Dagger, 2 gp,Item,Ironclad Foundry,Ironmonger
File, 2 sp,Item,Ironclad Foundry,Ironmonger
Forge Apron, 1 gp,Item,Ironclad Foundry,Ironmonger
Hammer, 5 sp,Item,Ironclad Foundry,Ironmonger
Iron Backpack Frame, 5 gp,Item,Ironclad Foundry,Ironmonger
Iron Bed Frame, 10 gp,Item,Ironclad Foundry,Ironmonger
Iron Candle Stand, 5 sp,Item,Ironclad Foundry,Ironmonger
Iron Cauldron, 5 gp,Item,Ironclad Foundry,Ironmonger
Iron Chair, 1 gp,Item,Ironclad Foundry,Ironmonger
Iron Chandelier, 15 gp,Item,Ironclad Foundry,Ironmonger
Iron Climbing Pitons (Set of 5), 2 gp,Item,Ironclad Foundry,Ironmonger
Iron Cooking Pot, 2 sp,Item,Ironclad Foundry,Ironmonger
Iron Door Hinges (set of 3), 2 gp,Item,Ironclad Foundry,Ironmonger
Iron Fireplace Grate, 2 gp,Item,Ironclad Foundry,Ironmonger
Iron Fireplace Poker, 1 sp,Item,Ironclad Foundry,Ironmonger
Iron Garden Trellis, 5 gp,Item,Ironclad Foundry,Ironmonger
Iron Grappling Hook, 1 gp,Item,Ironclad Foundry,Ironmonger
Iron Kettle, 5 sp,Item,Ironclad Foundry,Ironmonger
Iron Key, 5 sp,Item,Ironclad Foundry,Ironmonger
Iron Lantern Hook, 2 sp,Item,Ironclad Foundry,Ironmonger
Iron Lantern, 5 gp,Item,Ironclad Foundry,Ironmonger
Iron Lock, 10 gp,Item,Ironclad Foundry,Ironmonger
Iron Manacles, 2 gp,Item,Ironclad Foundry,Ironmonger
Iron Scrollwork Panel, 10 gp,Item,Ironclad Foundry,Ironmonger
Iron Sign Bracket (for shops), 5 sp,Item,Ironclad Foundry,Ironmonger
Iron Skillet, 2 gp,Item,Ironclad Foundry,Ironmonger
Iron Statuette (Small), 1 gp,Item,Ironclad Foundry,Ironmonger
Iron Table, 5 gp,Item,Ironclad Foundry,Ironmonger
Iron Tent Stakes (Set of 5), 1 gp,Item,Ironclad Foundry,Ironmonger
Iron Trail Markers (Set of 10), 2 sp,Item,Ironclad Foundry,Ironmonger
Longsword, 15 gp,Item,Ironclad Foundry,Ironmonger
Plate Mail, 1500 gp,Item,Ironclad Foundry,Ironmonger
"Polearm (e.g., Glaive, Halberd)", 20 gp,Item,Ironclad Foundry,Ironmonger
Quenching Barrel, 5 gp,Item,Ironclad Foundry,Ironmonger
Set of Iron Spikes (10), 1 sp,Item,Ironclad Foundry,Ironmonger
Shield, 10 gp,Item,Ironclad Foundry,Ironmonger
Shortsword, 10 gp,Item,Ironclad Foundry,Ironmonger
Tongs, 1 sp,Item,Ironclad Foundry,Ironmonger
Vice Grip, 5 sp,Item,Ironclad Foundry,Ironmonger
Warhammer, 12 gp,Item,Ironclad Foundry,Ironmonger
Wrought Iron Wall Sconce, 5 gp,Item,Ironclad Foundry,Ironmonger
Armor Fitting and Simple Adjustments, 5 gp,Service,Ironclad Foundry,Ironmonger
Armor Repair, varies,Service,Ironclad Foundry,Ironmonger
Custom Engraving, 5 sp ,Service,Ironclad Foundry,Ironmonger
Custom Forge Work, varies,Service,Ironclad Foundry,Ironmonger
Weapon Cleaning and Polishing, 1 sp ,Service,Ironclad Foundry,Ironmonger
Weapon Sharpening, 5 sp,Service,Ironclad Foundry,Ironmonger
Aged Wooden Marionette, 2 gp,Item,Dragon's Hoard Resale,Junk Dealer
Ancient Coin Collection (Assorted), 15 gp,Item,Dragon's Hoard Resale,Junk Dealer
Antique Brass Compass, 6 gp,Item,Dragon's Hoard Resale,Junk Dealer
Antique Wooden Plate Set (Partial), 6 gp,Item,Dragon's Hoard Resale,Junk Dealer
Battered Iron Lockbox (No Key), 10 gp,Item,Dragon's Hoard Resale,Junk Dealer
Bent Brass Key with Elaborate Design, 2 gp,Item,Dragon's Hoard Resale,Junk Dealer
Broken Longbow, 1 gp,Item,Dragon's Hoard Resale,Junk Dealer
Chipped Ceramic Mug, 1 sp,Item,Dragon's Hoard Resale,Junk Dealer
Chipped Stone Gargoyle Statue, 25 gp,Item,Dragon's Hoard Resale,Junk Dealer
Cobweb-covered Spellbook (Blank), 7 gp,Item,Dragon's Hoard Resale,Junk Dealer
Copper Candlestick Holder, 1 sp,Item,Dragon's Hoard Resale,Junk Dealer
Cracked Crystal Ball (Non-magical), 8 gp,Item,Dragon's Hoard Resale,Junk Dealer
Cracked Crystal Vial (Empty), 2 sp,Item,Dragon's Hoard Resale,Junk Dealer
Creaky Wooden Chest (Locked), 12 gp,Item,Dragon's Hoard Resale,Junk Dealer
Dulled Hunting Knife, 5 sp,Item,Dragon's Hoard Resale,Junk Dealer
Faded Sheet Music for a Forgotten Song, 3 gp,Item,Dragon's Hoard Resale,Junk Dealer
Faded Tapestry Fragment, 5 gp,Item,Dragon's Hoard Resale,Junk Dealer
Fragile Glass Potion Bottle (Empty), 2 sp,Item,Dragon's Hoard Resale,Junk Dealer
Frayed Quiver with a Single Arrow, 3 sp,Item,Dragon's Hoard Resale,Junk Dealer
Intricate Cameo Brooch, 12 gp,Item,Dragon's Hoard Resale,Junk Dealer
Mismatched Leather Gloves, 2 sp,Item,Dragon's Hoard Resale,Junk Dealer
Moth-Eaten Velvet Robe, 5 gp,Item,Dragon's Hoard Resale,Junk Dealer
Old Wooden Chair, 3 gp,Item,Dragon's Hoard Resale,Junk Dealer
Rusted Iron Cauldron, 4 gp,Item,Dragon's Hoard Resale,Junk Dealer
Rustic Oil Lamp (Functional), 3 gp,Item,Dragon's Hoard Resale,Junk Dealer
Rusty Dagger, 2 gp,Item,Dragon's Hoard Resale,Junk Dealer
Small Iron Key with Unknown Purpose, 1 gp,Item,Dragon's Hoard Resale,Junk Dealer
Tarnished Silver Spoon, 5 sp,Item,Dragon's Hoard Resale,Junk Dealer
Tattered Noble's Portrait, 8 gp,Item,Dragon's Hoard Resale,Junk Dealer
Tattered Wizard's Robe, 10 gp,Item,Dragon's Hoard Resale,Junk Dealer
Threadbare Noble's Cloak, 5 gp,Item,Dragon's Hoard Resale,Junk Dealer
Torn Treasure Map, 7 gp,Item,Dragon's Hoard Resale,Junk Dealer
Vintage Brass Spyglass, 20 gp,Item,Dragon's Hoard Resale,Junk Dealer
Weathered Traveler's Hat, 1 gp,Item,Dragon's Hoard Resale,Junk Dealer
Weathered Wooden Holy Symbol, 4 gp,Item,Dragon's Hoard Resale,Junk Dealer
Worn Leather Journal, 4 gp,Item,Dragon's Hoard Resale,Junk Dealer
Worn Wooden Shield, 8 gp,Item,Dragon's Hoard Resale,Junk Dealer
Belt Sheath, 2 gp,Item,Ironhawk Kinves,Knifesmith
Bone-Handled Skinning Knife, 7 gp,Item,Ironhawk Kinves,Knifesmith
Boning Knife, 5 gp,Item,Ironhawk Kinves,Knifesmith
Bowie Knife, 18 gp,Item,Ironhawk Kinves,Knifesmith
Bread Knife, 4 gp,Item,Ironhawk Kinves,Knifesmith
Butcher’s Cleaver, 10 gp,Item,Ironhawk Kinves,Knifesmith
Carving Set (includes carving knife and fork), 15 gp,Item,Ironhawk Kinves,Knifesmith
Chef’s Knife, 5 gp,Item,Ironhawk Kinves,Knifesmith
Cleaver, 8 gp,Item,Ironhawk Kinves,Knifesmith
Dagger, 2 gp,Item,Ironhawk Kinves,Knifesmith
Decorative Knife with Intricate Handle, 20 gp,Item,Ironhawk Kinves,Knifesmith
Fillet Knife, 6 gp,Item,Ironhawk Kinves,Knifesmith
Fisherman’s Filet Knife, 7 gp,Item,Ironhawk Kinves,Knifesmith
Hunting Knife, 3 gp,Item,Ironhawk Kinves,Knifesmith
"Knife Maintenance Kit (includes oil, cloth, and small whetstone)", 3 gp,Item,Ironhawk Kinves,Knifesmith
Knife Sharpening Stone, 1 gp,Item,Ironhawk Kinves,Knifesmith
Leather Knife Roll (holds up to 5 knives), 5 gp,Item,Ironhawk Kinves,Knifesmith
Machete, 8 gp,Item,Ironhawk Kinves,Knifesmith
Oyster Knife, 3 gp,Item,Ironhawk Kinves,Knifesmith
Parrying Dagger, 12 gp,Item,Ironhawk Kinves,Knifesmith
Sai (pair), 18 gp,Item,Ironhawk Kinves,Knifesmith
Scabbard, 1 gp,Item,Ironhawk Kinves,Knifesmith
Serrated Bread Knife, 5 gp,Item,Ironhawk Kinves,Knifesmith
Set of Steak Knives (set of 4), 8 gp,Item,Ironhawk Kinves,Knifesmith
Throwing Axes (set of 3), 10 gp,Item,Ironhawk Kinves,Knifesmith
Throwing Daggers (set of 3), 7 gp,Item,Ironhawk Kinves,Knifesmith
Throwing Knives (set of 5), 5 gp,Item,Ironhawk Kinves,Knifesmith
Utility Knife, 1 gp,Item,Ironhawk Kinves,Knifesmith
Basic Knife Sharpening, 1 sp ,Service,Ironhawk Kinves,Knifesmith
Blade Repair, 2+ gp,Service,Ironhawk Kinves,Knifesmith
Engraving, 1 gp,Service,Ironhawk Kinves,Knifesmith
Handle Replacement, 2+ gp (plus cost of materials),Service,Ironhawk Kinves,Knifesmith
Handle Wrapping (leather or cord), 3 gp,Service,Ironhawk Kinves,Knifesmith
Knife Balancing Service, 1 gp,Service,Ironhawk Kinves,Knifesmith
Knife Restoration (antique blades), 20+ gp ,Service,Ironhawk Kinves,Knifesmith
Knife Throwing Lesson (per hour), 15 gp,Service,Ironhawk Kinves,Knifesmith
Rust Removal, 5 sp per knife,Service,Ironhawk Kinves,Knifesmith
Bar of Soap, 2 cp,Item,Purity Pails Laundry,Laundress
Bundle of Lavender, 5 sp,Item,Purity Pails Laundry,Laundress
Cedarwood Laundry Chest, 5 gp,Item,Purity Pails Laundry,Laundress
Clothespins (set of 10), 5 cp,Item,Purity Pails Laundry,Laundress
Darned Linen Shirt, 5 sp,Item,Purity Pails Laundry,Laundress
Enamel Wash Basin, 1 gp,Item,Purity Pails Laundry,Laundress
Fine Linen Tablecloth, 3 gp,Item,Purity Pails Laundry,Laundress
Flat Iron, 1 sp,Item,Purity Pails Laundry,Laundress
Handkerchief, 1 sp,Item,Purity Pails Laundry,Laundress
Hand-Knit Woolen Socks, 2 sp per pair,Item,Purity Pails Laundry,Laundress
Handmade Linen Apron, 2 sp,Item,Purity Pails Laundry,Laundress
Herb-Infused Laundry Sachet, 2 sp,Item,Purity Pails Laundry,Laundress
Iron Laundry Rings (set of 6), 2 sp,Item,Purity Pails Laundry,Laundress
Linen Towel, 1 sp,Item,Purity Pails Laundry,Laundress
Mending Needle Set (assorted sizes), 5 cp,Item,Purity Pails Laundry,Laundress
Small Wooden Washboard, 5 cp,Item,Purity Pails Laundry,Laundress
Sturdy Laundry Basket, 2 sp,Item,Purity Pails Laundry,Laundress
Travel-Size Folding Clothesline, 5 cp,Item,Purity Pails Laundry,Laundress
Travel-Size Stain Remover Potion (single use), 1 gp,Item,Purity Pails Laundry,Laundress
Basic Laundry Service (per load), 5 sp,Service,Purity Pails Laundry,Laundress
"Custom Scented Laundry Service (choose from lavender, chamomile, or rose)", 2 sp,Service,Purity Pails Laundry,Laundress
Linen Folding and Packing Service (for travel), 5 sp,Service,Purity Pails Laundry,Laundress
Linen Mending and Patching Service, 5+ sp,Service,Purity Pails Laundry,Laundress
Pressing and Ironing Service (per garment), 1 sp,Service,Purity Pails Laundry,Laundress
Stain Removal Service (per garment), 2 sp,Service,Purity Pails Laundry,Laundress
Herbal Remedies (for post-bloodletting care)," Prices vary based on ingredients and potency, ranging from 1 sp - 5 gp per dose.",Item,The Crimson Drainer,Leech Collector
Leech Jar, 5 sp,Item,The Crimson Drainer,Leech Collector
Leeches (per dozen), 1 gp,Item,The Crimson Drainer,Leech Collector
Specialty Leech Species, 5 sp - 5 gp per leech,Item,The Crimson Drainer,Leech Collector
Customized Bloodletting Plan, 10 gp,Service,The Crimson Drainer,Leech Collector
Leech Application Services, 1 sp per session,Service,The Crimson Drainer,Leech Collector
Leech Handling Lessons, 2 sp per lesson,Service,The Crimson Drainer,Leech Collector
Eyeglasses (Quality), 5 gp,Item,Arcanup Eyewear,Lensgrinder
Eyeglasses (Simple), 2 gp,Item,Arcanup Eyewear,Lensgrinder
Lens Cleaning Solution, 1 sp per bottle,Item,Arcanup Eyewear,Lensgrinder
Lens Polishing Cloth, 5 cp,Item,Arcanup Eyewear,Lensgrinder
Monocle, 5 gp,Item,Arcanup Eyewear,Lensgrinder
Optical Repair Kit, 5 gp,Item,Arcanup Eyewear,Lensgrinder
Reading Lenses, 1 gp,Item,Arcanup Eyewear,Lensgrinder
Frame Repair, 1 gp,Service,Arcanup Eyewear,Lensgrinder
Lens Adjustment ,1 sp,Service,Arcanup Eyewear,Lensgrinder
Lens Cleaning Service, 1 sp,Service,Arcanup Eyewear,Lensgrinder
Lens Prescription Consultation ,2 gp,Service,Arcanup Eyewear,Lensgrinder
Lens Replacement, 1 gp,Service,Arcanup Eyewear,Lensgrinder
Boathook, 1 sp,Item,Blazecraft Transport,Lighterman
"Driftwood Carving (small, decorative)", 5 sp,Item,Blazecraft Transport,Lighterman
Mariner’s Journal, 2 gp,Item,Blazecraft Transport,Lighterman
Navigational Compass, 10 gp,Item,Blazecraft Transport,Lighterman
Navigational Map (local waterways), 3 gp,Item,Blazecraft Transport,Lighterman
Oil Lamp, 5 sp,Item,Blazecraft Transport,Lighterman
Pitch/Tar (per gallon), 2 sp,Item,Blazecraft Transport,Lighterman
Seafarer's Rope (50 feet), 1 gp,Item,Blazecraft Transport,Lighterman
Waterproof Travel Sack, 2 gp,Item,Blazecraft Transport,Lighterman
"Waterproofing Kit (includes pitch, tar, and application tools)", 5 gp,Item,Blazecraft Transport,Lighterman
Cargo Loading/Unloading Assistance, 1 gp per hour,Service,Blazecraft Transport,Lighterman
Lighter Maintenance (includes hull inspection and basic repairs), 5 gp,Service,Blazecraft Transport,Lighterman
Lighter Rental (per day), 10 gp,Service,Blazecraft Transport,Lighterman
Lighter Repair (minor), 2 gp,Service,Blazecraft Transport,Lighterman
Navigational Consultation (local routes and hazards), 3 gp,Service,Blazecraft Transport,Lighterman
Gold Leaf (Sheet), 1 gp,Item,Quill & Scroll Scriptorium,Limner
Parchment Sheet (Fine), 5 sp,Item,Quill & Scroll Scriptorium,Limner
Parchment Sheet (Standard), 2 sp,Item,Quill & Scroll Scriptorium,Limner
Pigment Set (Assorted Colors, 5 sp,Item,Quill & Scroll Scriptorium,Limner
Pounce Powder (Small Bag), 5 cp,Item,Quill & Scroll Scriptorium,Limner
Quill Pen (Single), 5 cp,Item,Quill & Scroll Scriptorium,Limner
Rare Pigments, 1+ gp,Item,Quill & Scroll Scriptorium,Limner
Scroll Case (Basic), 1 gp,Item,Quill & Scroll Scriptorium,Limner
Vial of Ink (Specialty), 3 - 5 sp,Item,Quill & Scroll Scriptorium,Limner
Vial of Ink (Standard), 1 sp,Item,Quill & Scroll Scriptorium,Limner
Calligraphy (Per Page), 5 sp,Service,Quill & Scroll Scriptorium,Limner
Custom Coat of Arms Design," 5 gp for a basic design, with additional costs for complexity and heraldic research.",Service,Quill & Scroll Scriptorium,Limner
Illumination (Per Page)," 1 gp for basic designs, with additional costs for intricate details and use of gold leaf.",Service,Quill & Scroll Scriptorium,Limner
Illustrated Family Tree," 10 gp for a basic design, with additional costs for complexity and number of generations.",Service,Quill & Scroll Scriptorium,Limner
Illuminated Manuscript (Custom-made)," Prices vary depending on complexity, ranging from 10 gp for a simple design to several hundred gold pieces for intricate and elaborate commissions.",Service,Quill & Scroll Scriptorium,Limner
Average-quality Padlock, 2 gp,Item,Fortress Locks and Keys,Locksmith
Brass Key with Intricate Design, 5 sp,Item,Fortress Locks and Keys,Locksmith
Decorative Keychain, 1 sp,Item,Fortress Locks and Keys,Locksmith
Engraved Lockplate (custom design), 5 gp,Item,Fortress Locks and Keys,Locksmith
High-quality Padlock with Elaborate Engravings, 5 gp,Item,Fortress Locks and Keys,Locksmith
Keyring (holds up to 10 keys), 2 sp,Item,Fortress Locks and Keys,Locksmith
Lock Oil (small vial), 1 gp,Item,Fortress Locks and Keys,Locksmith
Locksmith’s Toolkit (basic), 20 gp,Item,Fortress Locks and Keys,Locksmith
Locksmith’s Toolkit (masterwork), 50 gp,Item,Fortress Locks and Keys,Locksmith
Masterwork Lock, 25 gp,Item,Fortress Locks and Keys,Locksmith
Simple Lock, 10 gp,Item,Fortress Locks and Keys,Locksmith
Standard Iron Key, 1 sp,Item,Fortress Locks and Keys,Locksmith
Thieves’ Tools, 25 gp,Item,Fortress Locks and Keys,Locksmith
Key Duplication (Brass Key with Intricate Design), 2 sp per key,Service,Fortress Locks and Keys,Locksmith
Key Duplication (Standard Key), 5 cp per key,Service,Fortress Locks and Keys,Locksmith
Lock Installation (Masterwork Lock), 10 gp,Service,Fortress Locks and Keys,Locksmith
Lock Installation (Simple Lock), 2 gp,Service,Fortress Locks and Keys,Locksmith
Lock Repair (Masterwork Lock), 5 gp,Service,Fortress Locks and Keys,Locksmith
Lock Repair (Simple Lock), 1 gp,Service,Fortress Locks and Keys,Locksmith
Locksmith Consultation (for security assessment), 25 gp,Service,Fortress Locks and Keys,Locksmith
Padlock Installation (Average-quality), 1 gp,Service,Fortress Locks and Keys,Locksmith
Padlock Installation (High-quality with Elaborate Engravings), 3 gp,Service,Fortress Locks and Keys,Locksmith
Padlock Repair (Average-quality), 5 sp,Service,Fortress Locks and Keys,Locksmith
Padlock Repair (High-quality with Elaborate Engravings), 2 gp,Service,Fortress Locks and Keys,Locksmith
Decorative Spurs (with intricate patterns), 3 gp,Item,Shield and Stirrup Smithy,Lorimer
Embossed Buckle, 5 sp,Item,Shield and Stirrup Smithy,Lorimer
Engraved Bit (with personalized design), 10 gp,Item,Shield and Stirrup Smithy,Lorimer
Gilded Buckle (with gold accents), 1 gp,Item,Shield and Stirrup Smithy,Lorimer
Iron Horseshoes (set of four), 2 gp,Item,Shield and Stirrup Smithy,Lorimer
Iron Stirrups, 2 gp,Item,Shield and Stirrup Smithy,Lorimer
Nobleman’s Embossed Harness (with silver fittings), 20 gp,Item,Shield and Stirrup Smithy,Lorimer
Nobleman’s Spurs (crafted with precious metals), 10 gp,Item,Shield and Stirrup Smithy,Lorimer
Ornate Bit, 5 gp,Item,Shield and Stirrup Smithy,Lorimer
Plain Buckle, 1 sp,Item,Shield and Stirrup Smithy,Lorimer
Reinforced Leather Harness, 10 gp,Item,Shield and Stirrup Smithy,Lorimer
Saddle Blanket, 1 gp,Item,Shield and Stirrup Smithy,Lorimer
Saddle Cover (embroidered with intricate designs), 5 gp,Item,Shield and Stirrup Smithy,Lorimer
Saddlebags, 2 gp,Item,Shield and Stirrup Smithy,Lorimer
"Silver Horseshoes (set of four, decorative)", 10 gp,Item,Shield and Stirrup Smithy,Lorimer
Silver-Plated Stirrups, 10 gp,Item,Shield and Stirrup Smithy,Lorimer
Simple Bit, 2 gp,Item,Shield and Stirrup Smithy,Lorimer
Simple Leather Harness, 5 gp,Item,Shield and Stirrup Smithy,Lorimer
Standard Spurs, 1 gp,Item,Shield and Stirrup Smithy,Lorimer
Steel Horseshoes (set of four), 5 gp,Item,Shield and Stirrup Smithy,Lorimer
Steel Stirrups, 5 gp,Item,Shield and Stirrup Smithy,Lorimer
Bit Repair, 1 sp,Service,Shield and Stirrup Smithy,Lorimer
Engraving (per item), 1 gp,Service,Shield and Stirrup Smithy,Lorimer
Fitting Consultation, 5 sp,Service,Shield and Stirrup Smithy,Lorimer
Heraldic Crest (engraved on horse equipment), 10 gp,Service,Shield and Stirrup Smithy,Lorimer
Horseshoe Replacement (per shoe), 5 sp,Service,Shield and Stirrup Smithy,Lorimer
Measurement Services (for custom fittings), 1 gp,Service,Shield and Stirrup Smithy,Lorimer
"Personalized Design (bit, spur, or buckle)", 5 gp,Service,Shield and Stirrup Smithy,Lorimer
Stirrup Repair, 1 sp,Service,Shield and Stirrup Smithy,Lorimer
Bow, 1 - 5 gp,Item,Chordcraft Studios,Luthier
Bridge, Price,Item,Chordcraft Studios,Luthier
Cello, 10 – 50 gp,Item,Chordcraft Studios,Luthier
Fretboard/Fingerboard, 2 - 10 gp,Item,Chordcraft Studios,Luthier
Guitar, 5 – 30 gp,Item,Chordcraft Studios,Luthier
Instrument Case, 2 - 20 gp,Item,Chordcraft Studios,Luthier
Lute, 5 – 30 gp,Item,Chordcraft Studios,Luthier
Mandolin, 5 – 50 gp,Item,Chordcraft Studios,Luthier
Rosin, 1 sp per cake,Item,Chordcraft Studios,Luthier
Strings, 1 sp to 5 gp per set,Item,Chordcraft Studios,Luthier
Tuning Pegs, 5 sp per set,Item,Chordcraft Studios,Luthier
Viola, 10 – 50 gp,Item,Chordcraft Studios,Luthier
Violin, 10 – 50 gp,Item,Chordcraft Studios,Luthier
Custom Instrument Crafting, 50+ gp ,Service,Chordcraft Studios,Luthier
Instrument Appraisal, 5 gp per appraisal,Service,Chordcraft Studios,Luthier
Instrument Maintenance, 1 - 5 gp ,Service,Chordcraft Studios,Luthier
Instrument Repair, 1 – 20+ gp,Service,Chordcraft Studios,Luthier
Playing Lessons, 1 gp per hour class,Service,Chordcraft Studios,Luthier
Astrolabe (simple), 10 gp,Item,Carta Celestia,Mapmaker
Celestial Chart, 15 gp,Item,Carta Celestia,Mapmaker
Compass (basic), 10 sp,Item,Carta Celestia,Mapmaker
Fine Pigments (set of various colors), 3 gp,Item,Carta Celestia,Mapmaker
Inkwell (standard), 5 sp,Item,Carta Celestia,Mapmaker
Map Case (leather), 2 gp,Item,Carta Celestia,Mapmaker
Map Restoration Kit, 5 gp (includes tools for repairing damaged maps),Item,Carta Celestia,Mapmaker
Mapmaking Toolkit, 25 gp (basic tools for aspiring cartographers),Item,Carta Celestia,Mapmaker
Parchment (per sheet), 1 sp,Item,Carta Celestia,Mapmaker
Quill, 2 cp,Item,Carta Celestia,Mapmaker
Reference Map (kingdom/continent), 20 gp,Item,Carta Celestia,Mapmaker
Reference Map (local region), 5 gp,Item,Carta Celestia,Mapmaker
Scroll Tube, 1 gp,Item,Carta Celestia,Mapmaker
Celestial Navigation Consultation, 15 gp ,Service,Carta Celestia,Mapmaker
Custom Astrological Chart, 12 gp ,Service,Carta Celestia,Mapmaker
Custom Cartography Lessons (per session), 10 gp ,Service,Carta Celestia,Mapmaker
Custom-Made Map (kingdom/continent), 30 gp,Service,Carta Celestia,Mapmaker
Custom-Made Map (local region), 10 gp,Service,Carta Celestia,Mapmaker
Emergency Map Reproduction, 50 gp ,Service,Carta Celestia,Mapmaker
Historical Map Analysis, 8 gp ,Service,Carta Celestia,Mapmaker
Map Appraisal, 5 gp ,Service,Carta Celestia,Mapmaker
Map Copying (per sheet), 2 sp,Service,Carta Celestia,Mapmaker
"Map Enhancement (color, additional details)", 5 gp per map,Service,Carta Celestia,Mapmaker
Building Foundation, 10 gp per 10-foot square area,Item,The Stonecutter's Workshop,Mason
Masonry Tool kit, 5 gp,Item,The Stonecutter's Workshop,Mason
Mortar and Cement, 5 sp per 5-pound bag,Item,The Stonecutter's Workshop,Mason
Stone Blocks, 1 sp per cubic foot,Item,The Stonecutter's Workshop,Mason
Stone Fireplace Mantels," 5-10 gp for a basic mantel, with additional costs for intricate designs or custom sizes",Item,The Stonecutter's Workshop,Mason
Stone Fountain Kits, 10-20 gp for a basic kit,Item,The Stonecutter's Workshop,Mason
Stone Paving Stones, 2 sp per square foot,Item,The Stonecutter's Workshop,Mason
Stone Vases and Urns, 2-5 gp depending on size and intricacy of design,Item,The Stonecutter's Workshop,Mason
Stone Wall Construction, 1 gp per 5-foot section,Item,The Stonecutter's Workshop,Mason
Stone Cleaning and Polishing Services," 2 sp per square foot for cleaning and polishing stonework, with additional costs for restoration services.",Service,The Stonecutter's Workshop,Mason
Stone Engraving Services," 1 gp per square inch for basic text engraving, with additional costs for intricate designs or custom artwork.",Service,The Stonecutter's Workshop,Mason
Stone Restoration, Varies based on the scope of the project.,Service,The Stonecutter's Workshop,Mason
Stonemasonry Work, Varies based on the complexity of the project,Service,The Stonecutter's Workshop,Mason
Bite Sleeve (Training Aid), 10 gp,Item,Loyal Nobility Hounds,Master of Hounds
Clicker Training Set, 1 gp,Item,Loyal Nobility Hounds,Master of Hounds
Customized Hound Collar (Engraved), 20 gp,Item,Loyal Nobility Hounds,Master of Hounds
Enchanted Hound Whistle, 25 gp,Item,Loyal Nobility Hounds,Master of Hounds
Fine Quality Hound Bed, 15 gp,Item,Loyal Nobility Hounds,Master of Hounds
Grooming Brush, 3 sp,Item,Loyal Nobility Hounds,Master of Hounds
Hound Training Treats (Pouch), 5 gp,Item,Loyal Nobility Hounds,Master of Hounds
Hunting Horn, 10 gp,Item,Loyal Nobility Hounds,Master of Hounds
Mystical Healing Herb Pouch, 8 gp,Item,Loyal Nobility Hounds,Master of Hounds
Portable Water Bowl, 2 sp,Item,Loyal Nobility Hounds,Master of Hounds
Reinforced Hound Leash, 3 gp,Item,Loyal Nobility Hounds,Master of Hounds
Safety Muzzle, 3 sp,Item,Loyal Nobility Hounds,Master of Hounds
Standard Leather Collar, 2 gp,Item,Loyal Nobility Hounds,Master of Hounds
Tracking Map of Local Game, 2 gp,Item,Loyal Nobility Hounds,Master of Hounds
Training Treat Pouch, 5 sp,Item,Loyal Nobility Hounds,Master of Hounds
"Training Treats (Assorted Flavors, 50 pieces)", 1 gp,Item,Loyal Nobility Hounds,Master of Hounds
Training Whistle (Standard), 2 sp,Item,Loyal Nobility Hounds,Master of Hounds
Game Tracking Expedition, 60 gp,Service,Loyal Nobility Hounds,Master of Hounds
Hound Grooming, 8 gp,Service,Loyal Nobility Hounds,Master of Hounds
Hound Health Checkup, 3 gp,Service,Loyal Nobility Hounds,Master of Hounds
Hound Training Session (Basic), 15 gp per session,Service,Loyal Nobility Hounds,Master of Hounds
Kennel Boarding (Per Day), 2 gp,Service,Loyal Nobility Hounds,Master of Hounds
Noble’s Hunt Planning Consultation, 25 gp,Service,Loyal Nobility Hounds,Master of Hounds
Basic Tasting Flight (3 varieties), 5 sp,Item,The Honeyed Horn,Meadmaker
Clay Drinking Goblet, 5 cp,Item,The Honeyed Horn,Meadmaker
Common Herbs, 5 cp per ounce,Item,The Honeyed Horn,Meadmaker
Common Mead, 5 cp per bottle,Item,The Honeyed Horn,Meadmaker
Common Mead, 5 gp per barrel,Item,The Honeyed Horn,Meadmaker
Decorative Mead Pitcher, 1 gp,Item,The Honeyed Horn,Meadmaker
Exotic Spices, 1 sp per ounce,Item,The Honeyed Horn,Meadmaker
Fine Mead (aged or special blend), 5 sp per bottle,Item,The Honeyed Horn,Meadmaker
